datetime,symbol,open,high,low,close,volume
2016-06-30 21:00:00,OANDA:XAUUSD,1322.0135,1375.307,1310.8785,1351.2055,1169699.0
2016-07-31 21:00:00,OANDA:XAUUSD,1351.2055,1367.3175,1304.307,1308.98,918447.0
2016-08-31 21:00:00,OANDA:XAUUSD,1308.98,1352.8545,1302.5685,1316.0645,769488.0
2016-10-02 21:00:00,OANDA:XAUUSD,1316.0645,1319.7,1241.511,1276.8675,644272.0
2016-10-31 21:00:00,OANDA:XAUUSD,1276.8675,1337.495,1170.0555,1173.3295,1693064.0
2016-11-30 22:00:00,OANDA:XAUUSD,1173.3295,1188.267,1122.751,1151.61,876149.0
2017-01-01 22:00:00,OANDA:XAUUSD,1151.61,1220.224,1146.157,1210.5705,1036314.0
2017-01-31 22:00:00,OANDA:XAUUSD,1210.5705,1263.944,1198.178,1248.295,551670.0
2017-02-28 22:00:00,OANDA:XAUUSD,1248.295,1261.081,1195.067,1249.119,773378.0
2017-04-02 21:00:00,OANDA:XAUUSD,1249.119,1295.612,1243.821,1268.229,739479.0
2017-04-30 21:00:00,OANDA:XAUUSD,1268.229,1274.215,1214.392,1268.8085,794403.0
2017-05-31 21:00:00,OANDA:XAUUSD,1268.8085,1296.208,1236.006,1242.118,679104.0
2017-07-02 21:00:00,OANDA:XAUUSD,1242.118,1271.232,1204.89,1269.507,584664.0
2017-07-31 21:00:00,OANDA:XAUUSD,1269.507,1326.132,1251.614,1321.37,1022135.0
2017-08-31 21:00:00,OANDA:XAUUSD,1321.37,1357.624,1275.633,1280.081,1073710.0
2017-10-01 21:00:00,OANDA:XAUUSD,1280.081,1306.138,1260.668,1271.2125,764409.0
2017-10-31 21:00:00,OANDA:XAUUSD,1271.2125,1299.326,1265.534,1275.025,758742.0
2017-11-30 22:00:00,OANDA:XAUUSD,1275.025,1307.676,1236.527,1303.247,559373.0
2017-12-31 22:00:00,OANDA:XAUUSD,1303.247,1366.112,1302.9,1345.057,932032.0
2018-01-31 22:00:00,OANDA:XAUUSD,1345.057,1361.796,1307.081,1318.381,1121381.0
