datetime,symbol,open,high,low,close,volume
2024-08-13 21:00:00,OANDA:XAGUSD,27.86035,28.048,27.178,27.5655,82470.0
2024-08-14 21:00:00,OANDA:XAGUSD,27.5575,28.5205,27.4815,28.36015,87502.0
2024-08-15 21:00:00,OANDA:XAGUSD,28.333,29.039,28.043,29.039,87228.0
2024-08-18 21:00:00,OANDA:XAGUSD,29.0435,29.4855,28.724,29.4475,84081.0
2024-08-19 21:00:00,OANDA:XAGUSD,29.486,29.9705,29.2055,29.4405,90429.0
2024-08-20 21:00:00,OANDA:XAGUSD,29.467,29.739,29.21055,29.6075,81677.0
2024-08-21 21:00:00,OANDA:XAGUSD,29.54835,29.6845,28.7885,28.984,87109.0
2024-08-22 21:00:00,OANDA:XAGUSD,28.9685,29.889,28.947,29.831,91300.0
2024-08-25 21:00:00,OANDA:XAGUSD,29.882,30.1915,29.6545,29.91,78647.0
2024-08-26 21:00:00,OANDA:XAGUSD,29.9095,30.0895,29.7015,29.972,77867.0
2024-08-27 21:00:00,OANDA:XAGUSD,30.012,30.106,29.0805,29.128,75273.0
2024-08-28 21:00:00,OANDA:XAGUSD,29.13655,29.6855,29.13655,29.4245,79297.0
2024-08-29 21:00:00,OANDA:XAGUSD,29.4038,29.5885,28.6895,28.8655,91447.0
2024-09-01 21:00:00,OANDA:XAGUSD,28.8055,28.9745,28.3265,28.557,47659.0
2024-09-02 21:00:00,OANDA:XAGUSD,28.53,28.572,27.7075,28.045,90473.0
2024-09-03 21:00:00,OANDA:XAGUSD,28.0335,28.357,27.7725,28.2695,78154.0
2024-09-04 21:00:00,OANDA:XAGUSD,28.227,29.1795,28.212,28.823,85896.0
2024-09-05 21:00:00,OANDA:XAGUSD,28.8295,29.118,27.6865,27.9375,115993.0
2024-09-08 21:00:00,OANDA:XAGUSD,27.9695,28.3675,27.7035,28.3505,72569.0
2024-09-09 21:00:00,OANDA:XAGUSD,28.355,28.556,28.033,28.40055,74933.0
2024-09-10 21:00:00,OANDA:XAGUSD,28.4025,28.8745,28.0705,28.675,97951.0
2024-09-11 21:00:00,OANDA:XAGUSD,28.7115,29.914,28.5355,29.8755,97461.0
2024-09-12 21:00:00,OANDA:XAGUSD,29.8985,30.9242,29.8515,30.72,87047.0
2024-09-15 21:00:00,OANDA:XAGUSD,30.7675,31.097,30.5925,30.735,63298.0
