datetime,symbol,open,high,low,close,volume
2021-08-01 21:00:00,OANDA:XAGUSD,25.4915,26.0055,24.2005,24.346,66837.0
2021-08-08 21:00:00,OANDA:XAGUSD,24.346,24.375,22.102,23.7595,100946.0
2021-08-15 21:00:00,OANDA:XAGUSD,23.7595,23.9585,22.8786,23.032,74829.0
2021-08-22 21:00:00,OANDA:XAGUSD,23.032,24.1175,22.97865,24.027,79605.0
2021-08-29 21:00:00,OANDA:XAGUSD,24.027,24.8715,23.75675,24.716,66223.0
2021-09-05 21:00:00,OANDA:XAGUSD,24.716,24.828,23.729,23.7475,62681.0
2021-09-12 21:00:00,OANDA:XAGUSD,23.7475,23.968,22.334,22.404,84699.0
2021-09-19 21:00:00,OANDA:XAGUSD,22.404,23.1465,22.039,22.421,85031.0
2021-09-26 21:00:00,OANDA:XAGUSD,22.421,22.8515,21.4238,22.539,92823.0
2021-10-03 21:00:00,OANDA:XAGUSD,22.539,23.19095,22.2105,22.671,80946.0
2021-10-10 21:00:00,OANDA:XAGUSD,22.671,23.5914,22.34696,23.3085,73671.0
2021-10-17 21:00:00,OANDA:XAGUSD,23.3085,24.8285,23.013,24.326,93055.0
2021-10-24 21:00:00,OANDA:XAGUSD,24.326,24.6215,23.6578,23.894,85653.0
2021-10-31 21:00:00,OANDA:XAGUSD,23.894,24.1695,23.0203,24.1685,82566.0
2021-11-07 22:00:00,OANDA:XAGUSD,24.1685,25.3898,24.02775,25.3155,90260.0
2021-11-14 22:00:00,OANDA:XAGUSD,25.3155,25.4055,24.556,24.629,88159.0
2021-11-21 22:00:00,OANDA:XAGUSD,24.629,24.8871,22.9206,23.1715,91978.0
2021-11-28 22:00:00,OANDA:XAGUSD,23.1715,23.4435,22.0385,22.552,114451.0
2021-12-05 22:00:00,OANDA:XAGUSD,22.552,22.603,21.8305,22.188,57566.0
2021-12-12 22:00:00,OANDA:XAGUSD,22.188,22.681,21.427,22.374,63858.0
2021-12-19 22:00:00,OANDA:XAGUSD,22.374,22.936,22.1815,22.882,35738.0
2021-12-26 22:00:00,OANDA:XAGUSD,22.882,23.4355,22.591,23.306,44654.0
2022-01-02 22:00:00,OANDA:XAGUSD,23.306,23.407,21.9475,22.3675,76622.0
2022-01-09 22:00:00,OANDA:XAGUSD,22.3675,23.3115,22.1945,22.965,62896.0
2022-01-16 22:00:00,OANDA:XAGUSD,22.965,24.7025,22.8105,24.3035,71982.0
2022-01-23 22:00:00,OANDA:XAGUSD,24.3035,24.312,22.1527,22.4735,112086.0
2022-01-30 22:00:00,OANDA:XAGUSD,22.4735,23.0435,22.00695,22.524,87848.0
2022-02-06 22:00:00,OANDA:XAGUSD,22.524,23.715,22.524,23.603,81049.0
2022-02-13 22:00:00,OANDA:XAGUSD,23.603,24.091,23.08,23.8935,160937.0
2022-02-20 22:00:00,OANDA:XAGUSD,23.8935,25.62185,23.6992,24.2745,403164.0
2022-02-27 22:00:00,OANDA:XAGUSD,24.2745,25.74135,24.09416,25.701,510202.0
2022-03-06 22:00:00,OANDA:XAGUSD,25.701,26.94865,25.29525,25.8785,1624204.0
2022-03-13 21:00:00,OANDA:XAGUSD,25.8785,25.8785,24.472,24.9655,600668.0
2022-03-20 21:00:00,OANDA:XAGUSD,24.9655,25.8515,24.5775,25.528,319919.0
2022-03-27 21:00:00,OANDA:XAGUSD,25.528,25.58735,23.973,24.631,379258.0
2022-04-03 21:00:00,OANDA:XAGUSD,24.631,24.9485,24.1285,24.766,224565.0
2022-04-10 21:00:00,OANDA:XAGUSD,24.766,25.87345,24.67595,25.645,181590.0
2022-04-17 21:00:00,OANDA:XAGUSD,25.645,26.2225,24.05,24.1655,266676.0
2022-04-24 21:00:00,OANDA:XAGUSD,24.1655,24.1805,22.6839,22.7675,325886.0
2022-05-01 21:00:00,OANDA:XAGUSD,22.7675,23.28235,22.103,22.3625,381429.0
2022-05-08 21:00:00,OANDA:XAGUSD,22.3625,22.3705,20.45765,21.111,414148.0
2022-05-15 21:00:00,OANDA:XAGUSD,21.111,22.0799,20.84545,21.759,237834.0
2022-05-22 21:00:00,OANDA:XAGUSD,21.759,22.446,21.6723,22.102,209342.0
2022-05-29 21:00:00,OANDA:XAGUSD,22.102,22.4859,21.4385,21.924,218623.0
2022-06-05 21:00:00,OANDA:XAGUSD,21.924,22.5175,21.278,21.8985,225493.0
2022-06-12 21:00:00,OANDA:XAGUSD,21.8985,22.003,20.897,21.682,220662.0
2022-06-19 21:00:00,OANDA:XAGUSD,21.682,21.94,20.6157,21.1405,105479.0
2022-06-26 21:00:00,OANDA:XAGUSD,21.1405,21.53985,19.387,19.8635,120605.0
2022-07-03 21:00:00,OANDA:XAGUSD,19.8635,20.20215,18.92,19.3155,139032.0
2022-07-10 21:00:00,OANDA:XAGUSD,19.3155,19.41,18.1423,18.7055,117609.0
2022-07-17 21:00:00,OANDA:XAGUSD,18.7055,19.09655,18.24525,18.6045,96924.0
2022-07-24 21:00:00,OANDA:XAGUSD,18.6045,20.368,18.31865,20.358,109632.0
2022-07-31 21:00:00,OANDA:XAGUSD,20.358,20.5105,19.5519,19.9015,115958.0
2022-08-07 21:00:00,OANDA:XAGUSD,19.9015,20.8435,19.801,20.817,69534.0
2022-08-14 21:00:00,OANDA:XAGUSD,20.817,20.8732,19.027,19.056,68341.0
2022-08-21 21:00:00,OANDA:XAGUSD,19.056,19.4315,18.7205,18.9025,84060.0
2022-08-28 21:00:00,OANDA:XAGUSD,18.9025,18.9145,17.559,18.061,95871.0
2022-09-04 21:00:00,OANDA:XAGUSD,18.061,18.9475,17.8485,18.843,89208.0
2022-09-11 21:00:00,OANDA:XAGUSD,18.843,20.014,18.7835,19.578,113530.0
2022-09-18 21:00:00,OANDA:XAGUSD,19.578,19.921,18.777,18.873,134887.0
2022-09-25 21:00:00,OANDA:XAGUSD,18.873,19.293,17.96605,19.036,176239.0
2022-10-02 21:00:00,OANDA:XAGUSD,19.036,21.24015,19.036,20.139,151120.0
2022-10-09 21:00:00,OANDA:XAGUSD,20.139,20.1925,18.091,18.2815,160279.0
2022-10-16 21:00:00,OANDA:XAGUSD,18.2815,19.4145,18.2317,19.4045,138397.0
2022-10-23 21:00:00,OANDA:XAGUSD,19.4045,19.77955,18.791,19.2555,153080.0
2022-10-30 21:00:00,OANDA:XAGUSD,19.2555,20.9068,18.836,20.842,148768.0
2022-11-06 22:00:00,OANDA:XAGUSD,20.842,22.0639,20.38745,21.71,155428.0
2022-11-13 22:00:00,OANDA:XAGUSD,21.71,22.24965,20.756,20.949,159467.0
2022-11-20 22:00:00,OANDA:XAGUSD,20.949,21.679,20.584,21.45635,105470.0
