datetime,symbol,open,high,low,close,volume
2021-07-18 21:00:00,OANDA:XAUUSD,1812.255,1825.006,1789.69,1801.975,212571.0
2021-07-25 21:00:00,OANDA:XAUUSD,1801.975,1832.73,1792.795,1814.18,200576.0
2021-08-01 21:00:00,OANDA:XAUUSD,1814.18,1831.77,1758.8,1763.085,211734.0
2021-08-08 21:00:00,OANDA:XAUUSD,1763.085,1780.095,1677.686,1779.9,308970.0
2021-08-15 21:00:00,OANDA:XAUUSD,1779.9,1795.6,1770.876,1781.24,261793.0
2021-08-22 21:00:00,OANDA:XAUUSD,1781.24,1819.22,1776.559,1817.425,256653.0
2021-08-29 21:00:00,OANDA:XAUUSD,1817.425,1834.04,1801.72,1827.8,210268.0
2021-09-05 21:00:00,OANDA:XAUUSD,1827.8,1830.305,1782.47,1787.55,199256.0
2021-09-12 21:00:00,OANDA:XAUUSD,1787.55,1808.66,1745.355,1754.95,258659.0
2021-09-19 21:00:00,OANDA:XAUUSD,1754.95,1787.32,1737.84,1750.465,273053.0
2021-09-26 21:00:00,OANDA:XAUUSD,1750.465,1764.35,1721.71,1760.92,281432.0
2021-10-03 21:00:00,OANDA:XAUUSD,1760.92,1781.405,1745.99,1757.17,255842.0
2021-10-10 21:00:00,OANDA:XAUUSD,1757.17,1800.645,1750.245,1767.475,225000.0
2021-10-17 21:00:00,OANDA:XAUUSD,1767.475,1813.845,1760.375,1792.525,250204.0
2021-10-24 21:00:00,OANDA:XAUUSD,1792.525,1810.506,1771.98,1783.35,259673.0
2021-10-31 21:00:00,OANDA:XAUUSD,1783.35,1818.36,1758.89,1818.17,254359.0
2021-11-07 22:00:00,OANDA:XAUUSD,1818.17,1868.76,1812.495,1864.9,252523.0
2021-11-14 22:00:00,OANDA:XAUUSD,1864.9,1877.14,1843.09,1845.885,261353.0
2021-11-21 22:00:00,OANDA:XAUUSD,1845.885,1849.165,1778.615,1793.035,297016.0
2021-11-28 22:00:00,OANDA:XAUUSD,1793.035,1808.86,1761.94,1783.795,370628.0
2021-12-05 22:00:00,OANDA:XAUUSD,1783.795,1793.155,1770.215,1782.87,186339.0
2021-12-12 22:00:00,OANDA:XAUUSD,1782.87,1814.305,1753.07,1798.16,194799.0
2021-12-19 22:00:00,OANDA:XAUUSD,1798.16,1810.744,1784.905,1808.47,107144.0
2021-12-26 22:00:00,OANDA:XAUUSD,1808.47,1830.385,1789.494,1828.775,121188.0
